District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland West,AW,S2B-N,287.8461538,0.34,7.313566248,190.8830406,43.52314085,5.207248732,0.11964322,789.4623683
Ashland West,AW,S2B-P,387,0.53,6.474333521,459.0719366,103.20783,16.03815347,0.155396674,70.52235436
Ashland West,AW,S2C-N,320.3636364,0.397222222,7.475165724,199.9290694,52.59179217,8.997899235,0.17108942,2027.29356
Ashland West,AW,S2C-P,350.6363636,0.488181818,6.035686173,566.8560772,112.0306561,14.62822228,0.130573388,791.3445925
Ashland West,AW,S3A-N,371.7083333,0.690869565,8.902756568,353.4847878,139.7037893,31.84572295,0.227951748,3357.423082
Ashland West,AW,S3B-N,391.1818182,0.626363636,9.011716866,373.6364874,139.5919077,30.23277136,0.216579685,2508.33048
Ashland West,AW,S3B-P,342,0.135,6.934128101,118.176759,34.45067352,7.376844884,0.214127741,462.2975674
Ashland West,AW,S3C-N,344.2068966,0.58,7.983344272,338.1783926,109.9538147,25.6565904,0.233339702,4879.083238
Ashland West,AW,S3C-P,335.75,0.47,6.51024616,648.974053,136.981853,25.86287077,0.188805088,668.8338493
Ashland West,AW,S3D-N,346.6170213,0.440833333,7.915465553,177.8357111,50.03124824,9.829462483,0.196466465,6085.819916
Ashland West,AW,S3D-P,269.1428571,0.322857143,6.821392364,283.2500741,60.7436135,11.04248865,0.181788471,627.317692
Ashland West,AW,S4A-N,408.8125,0.435,9.359798058,251.2895444,114.0495872,25.52722666,0.223825682,2512.315657
Ashland West,AW,S4B-N,321.6590909,0.471627907,10.95401486,245.5632158,133.8299081,32.47556133,0.242662958,5032.538943
Ashland West,AW,S4C-N,379.5,0.482666667,10.65096288,213.3400648,93.36202889,23.16914155,0.248164504,2633.618757
Ashland West,AW,S4C-P,0,0.59,6.20064533,531.0782781,116.422127,17.71855229,0.152192309,54.30339527
Ashland West,AW,S4D-N,346.4242424,0.439166667,8.219939957,181.9747607,53.89196886,9.788792448,0.181637314,7640.643254
Ashland West,AW,S4D-P,399.3,0.525789474,6.648792352,508.1027978,123.5177194,25.1702796,0.203778694,850.9030718
Ashland West,AW,SH1A-N,358.7222222,0.393333333,6.980375799,251.3063563,64.31167086,11.70960346,0.182075871,185.4502785
Ashland West,AW,SH1A-P,0,0.43,6.359644405,334.746664,65.77199023,7.787094206,0.118395295,44.14981421
Ashland West,AW,SH1B-N,316.2222222,0.42,6.162956669,115.2919244,21.54490871,3.110078976,0.144353314,434.780914
Ashland West,AW,SH1C-N,177,0.225,6.12718931,90.5446141,18.00762978,1.72785902,0.095951496,281.2512673
Ashland West,AW,SH2A-N,343.1764706,0.463125,7.737498557,241.2802628,56.97880447,10.46932048,0.183740613,1036.35629
Ashland West,AW,SH2B-N,309.3333333,0.528571429,6.113664988,338.0526809,61.70806396,7.108342909,0.115193096,635.3715765
Ashland West,AW,SH2C-N,340.5789474,0.291538462,8.410371392,200.0745964,51.22642977,8.392539521,0.163832216,1628.298972
Ashland West,AW,SH2C-P,322.3333333,0.28,6.091790471,226.4469218,44.8611681,6.632699291,0.147849456,30.78507364
Ashland West,AW,SH3A-N,376,0.542,8.974549456,292.817317,135.0294636,40.2296705,0.297932536,346.4091059
Ashland West,AW,SH3B-N,408,0.562,8.094369485,236.5656462,98.31256617,24.71486741,0.251390726,561.3612756
Ashland West,AW,SH3C-N,336.6071429,0.3624,8.833831832,173.167166,67.83613614,16.37607721,0.241406397,2391.505983
Ashland West,AW,SH3D-N,335.6,0.374444444,7.515836975,188.1817798,60.86504926,12.62253682,0.207385634,3358.219956
Ashland West,AW,SH3D-P,358.5,0.466,6.451014628,579.1460533,118.6171171,18.45844362,0.155613659,162.5065373
Ashland West,AW,SH4A-N,367.2857143,0.418571429,11.71442592,149.8782236,114.463168,34.2209801,0.29896936,322.0360683
Ashland West,AW,SH4B-N,380.952381,0.527619048,10.81180655,231.741158,130.4182707,35.46999876,0.271971086,1208.28456
Ashland West,AW,SH4C-N,396.6,0.398,10.60554286,189.7381979,94.80853669,23.2106486,0.24481602,1480.080521
Ashland West,AW,SH4D-N,325.5185185,0.5308,9.815946094,198.8369585,63.80891851,14.10465894,0.221045259,1327.597064
Rangeley,RY,CH3B-N,386.2165142,0.2825,13.94487916,181.5622239,111.9723101,29.69083256,0.265162276,56.1700274
Rangeley,RY,CH3D-N,329.8105401,0.2825,13.94487916,269.5071978,61.4579817,11.38901937,0.185313918,35.11725355
Rangeley,RY,CS3B-N,340.4595367,0.636666667,6.872892902,152.9233812,44.23415689,11.27190733,0.254823605,15.19138344
Rangeley,RY,CS3C-N,434.0632835,0.636666667,6.872892902,221.8622512,173.0226156,43.86599124,0.2535275,38.93526574
Rangeley,RY,CS3D-N,325.9332731,0.636666667,6.872892902,169.4563797,49.3770175,9.985070824,0.20222102,31.48537074
Rangeley,RY,CS4B-N,352.4750454,0.636666667,6.872892902,126.7436234,67.11533149,17.97753167,0.267860283,39.96310937
Rangeley,RY,CS4C-N,348.5458104,0.636666667,6.872892902,265.1104602,82.6601534,17.63975694,0.21340097,62.57713573
Rangeley,RY,CS4D-N,365.7185167,0.51,7.743677663,337.2970551,150.8860209,46.74312889,0.309790984,70.28064706
Rangeley,RY,H1A-N,299.2468879,0.42,11.71211126,91.76341331,46.02597833,12.65431185,0.274938465,144.2927465
Rangeley,RY,H1B-N,269.4363093,0.223333333,7.772842219,87.64372594,39.41794309,11.72111055,0.297354698,555.069589
Rangeley,RY,H1C-N,306.1828719,0.223333333,7.772842219,158.9569571,43.00605474,10.98176941,0.25535403,350.1065047
Rangeley,RY,H1D-N,378.1673361,0.3325,10.78287186,32.4333451,13.56874366,3.4133569,0.251560276,214.7947505
Rangeley,RY,H2A-N,320.3981507,0.39,10.22455794,166.1450441,37.57987321,6.520714575,0.173516141,600.0392887
Rangeley,RY,H2B-N,347.1177126,0.508333333,8.825403028,511.7362205,122.3598187,24.6974218,0.201842582,626.3156647
Rangeley,RY,H2C-N,266.5056432,0.238181818,10.87465005,64.40336,20.21899097,4.445796709,0.219882224,753.165511
Rangeley,RY,H2D-N,302.564214,0.201428571,8.119916375,152.592265,38.36311,8.31213069,0.216669887,89.42414556
Rangeley,RY,H3A-N,349.1382891,0.55,7.240545841,213.1160604,100.4268476,29.98129587,0.298538654,5324.838007
Rangeley,RY,H3B-N,338.2325574,0.296666667,7.817803062,190.4877322,83.78996757,24.82661465,0.29629579,10319.1738
Rangeley,RY,H3C-N,347.2706395,0.394864865,9.545076949,161.843417,66.70700236,18.68881711,0.280162748,7593.360936
Rangeley,RY,H3D-N,350.2373125,0.348348624,9.787056748,234.0528455,71.603842,17.70078565,0.247204412,2803.010231
Rangeley,RY,H4A-N,361.3060487,0.306585366,10.49047355,158.7322102,94.55764997,30.060101,0.31790237,7566.992636
Rangeley,RY,H4B-N,342.3852591,0.423709677,8.257780572,162.2043186,87.84465451,27.73278045,0.315702539,19624.39756
Rangeley,RY,H4C-N,354.2405428,0.380540541,11.15671685,239.4660785,98.17705004,28.57939419,0.291100559,1879.189878
Rangeley,RY,H4D-N,324.1123383,0.327886792,10.81652792,143.2388698,44.99357818,11.12180549,0.247186508,1168.957823
Rangeley,RY,HS1A-N,297.9388584,0.442258065,9.091383007,95.71153873,20.30954292,4.324049828,0.212907294,35.66920162
Rangeley,RY,HS1B-N,336.7081491,0.307894737,8.925478755,133.0716738,31.32474484,4.153728446,0.132602148,180.1228634
Rangeley,RY,HS1C-N,319.6903444,0.198333333,10.36118323,86.08779617,23.54331217,4.405567297,0.187126062,329.0123854
Rangeley,RY,HS2A-N,313.9361183,0.296666667,10.87722948,219.2815741,53.81652819,10.77698192,0.200254128,618.6352404
Rangeley,RY,HS2B-N,335.0343879,0.415714286,7.389007773,409.8123424,91.07967792,16.82113109,0.184685887,369.5535485
